CaseID,Model,Requirement,Instance,Algorithm
sb_sb1_i2_rand,SB,SB1,2,RAND
sb_sb1_i2_a3c,SB,SB1,2,A3C
sb_sb1_i2_acer,SB,SB1,2,ACER
sb_sb1_i2_ddqn,SB,SB1,2,DDQN
sb_sb2_i2_rand,SB,SB2,2,RAND
sb_sb2_i2_a3c,SB,SB2,2,A3C
sb_sb2_i2_acer,SB,SB2,2,ACER
sb_sb2_i2_ddqn,SB,SB2,2,DDQN
sb_sb3_i2_rand,SB,SB3,2,RAND
sb_sb3_i2_a3c,SB,SB3,2,A3C
sb_sb3_i2_acer,SB,SB3,2,ACER
sb_sb3_i2_ddqn,SB,SB3,2,DDQN
sb_sb4_i2_rand,SB,SB4,2,RAND
sb_sb4_i2_a3c,SB,SB4,2,A3C
sb_sb4_i2_acer,SB,SB4,2,ACER
sb_sb4_i2_ddqn,SB,SB4,2,DDQN
sb_sb5_i2_rand,SB,SB5,2,RAND
sb_sb5_i2_a3c,SB,SB5,2,A3C
sb_sb5_i2_acer,SB,SB5,2,ACER
sb_sb5_i2_ddqn,SB,SB5,2,DDQN
at_at1_i1_rand,AT,AT1,1,RAND
at_at1_i1_a3c,AT,AT1,1,A3C
at_at1_i1_acer,AT,AT1,1,ACER
at_at1_i1_ddqn,AT,AT1,1,DDQN
at_at1_i2_rand,AT,AT1,2,RAND
at_at1_i2_a3c,AT,AT1,2,A3C
at_at1_i2_acer,AT,AT1,2,ACER
at_at1_i2_ddqn,AT,AT1,2,DDQN
at_at2_i1_rand,AT,AT2,1,RAND
at_at2_i1_a3c,AT,AT2,1,A3C
at_at2_i1_acer,AT,AT2,1,ACER
at_at2_i1_ddqn,AT,AT2,1,DDQN
at_at2_i2_rand,AT,AT2,2,RAND
at_at2_i2_a3c,AT,AT2,2,A3C
at_at2_i2_acer,AT,AT2,2,ACER
at_at2_i2_ddqn,AT,AT2,2,DDQN
at_at51_i1_rand,AT,AT51,1,RAND
at_at51_i1_a3c,AT,AT51,1,A3C
at_at51_i1_acer,AT,AT51,1,ACER
at_at51_i1_ddqn,AT,AT51,1,DDQN
at_at51_i2_rand,AT,AT51,2,RAND
at_at51_i2_a3c,AT,AT51,2,A3C
at_at51_i2_acer,AT,AT51,2,ACER
at_at51_i2_ddqn,AT,AT51,2,DDQN
at_at52_i1_rand,AT,AT52,1,RAND
at_at52_i1_a3c,AT,AT52,1,A3C
at_at52_i1_acer,AT,AT52,1,ACER
at_at52_i1_ddqn,AT,AT52,1,DDQN
at_at52_i2_rand,AT,AT52,2,RAND
at_at52_i2_a3c,AT,AT52,2,A3C
at_at52_i2_acer,AT,AT52,2,ACER
at_at52_i2_ddqn,AT,AT52,2,DDQN
at_at53_i1_rand,AT,AT53,1,RAND
at_at53_i1_a3c,AT,AT53,1,A3C
at_at53_i1_acer,AT,AT53,1,ACER
at_at53_i1_ddqn,AT,AT53,1,DDQN
at_at53_i2_rand,AT,AT53,2,RAND
at_at53_i2_a3c,AT,AT53,2,A3C
at_at53_i2_acer,AT,AT53,2,ACER
at_at53_i2_ddqn,AT,AT53,2,DDQN
at_at54_i1_rand,AT,AT54,1,RAND
at_at54_i1_a3c,AT,AT54,1,A3C
at_at54_i1_acer,AT,AT54,1,ACER
at_at54_i1_ddqn,AT,AT54,1,DDQN
at_at54_i2_rand,AT,AT54,2,RAND
at_at54_i2_a3c,AT,AT54,2,A3C
at_at54_i2_acer,AT,AT54,2,ACER
at_at54_i2_ddqn,AT,AT54,2,DDQN
at_at6a_i1_rand,AT,AT6a,1,RAND
at_at6a_i1_a3c,AT,AT6a,1,A3C
at_at6a_i1_acer,AT,AT6a,1,ACER
at_at6a_i1_ddqn,AT,AT6a,1,DDQN
at_at6a_i2_rand,AT,AT6a,2,RAND
at_at6a_i2_a3c,AT,AT6a,2,A3C
at_at6a_i2_acer,AT,AT6a,2,ACER
at_at6a_i2_ddqn,AT,AT6a,2,DDQN
at_at6abc_i1_rand,AT,AT6abc,1,RAND
at_at6abc_i1_a3c,AT,AT6abc,1,A3C
at_at6abc_i1_acer,AT,AT6abc,1,ACER
at_at6abc_i1_ddqn,AT,AT6abc,1,DDQN
at_at6abc_i2_rand,AT,AT6abc,2,RAND
at_at6abc_i2_a3c,AT,AT6abc,2,A3C
at_at6abc_i2_acer,AT,AT6abc,2,ACER
at_at6abc_i2_ddqn,AT,AT6abc,2,DDQN
at_at6b_i1_rand,AT,AT6b,1,RAND
at_at6b_i1_a3c,AT,AT6b,1,A3C
at_at6b_i1_acer,AT,AT6b,1,ACER
at_at6b_i1_ddqn,AT,AT6b,1,DDQN
at_at6b_i2_rand,AT,AT6b,2,RAND
at_at6b_i2_a3c,AT,AT6b,2,A3C
at_at6b_i2_acer,AT,AT6b,2,ACER
at_at6b_i2_ddqn,AT,AT6b,2,DDQN
at_at6c_i1_rand,AT,AT6c,1,RAND
at_at6c_i1_a3c,AT,AT6c,1,A3C
at_at6c_i1_acer,AT,AT6c,1,ACER
at_at6c_i1_ddqn,AT,AT6c,1,DDQN
at_at6c_i2_rand,AT,AT6c,2,RAND
at_at6c_i2_a3c,AT,AT6c,2,A3C
at_at6c_i2_acer,AT,AT6c,2,ACER
at_at6c_i2_ddqn,AT,AT6c,2,DDQN
afc_afc27_i2_rand,AFC,AFC27,2,RAND
afc_afc27_i2_a3c,AFC,AFC27,2,A3C
afc_afc27_i2_acer,AFC,AFC27,2,ACER
afc_afc27_i2_ddqn,AFC,AFC27,2,DDQN
afc_afc29_i2_rand,AFC,AFC29,2,RAND
afc_afc29_i2_a3c,AFC,AFC29,2,A3C
afc_afc29_i2_acer,AFC,AFC29,2,ACER
afc_afc29_i2_ddqn,AFC,AFC29,2,DDQN
afc_afc33_i2_rand,AFC,AFC33,2,RAND
afc_afc33_i2_a3c,AFC,AFC33,2,A3C
afc_afc33_i2_acer,AFC,AFC33,2,ACER
afc_afc33_i2_ddqn,AFC,AFC33,2,DDQN
cc_cc1_i1_rand,CC,CC1,1,RAND
cc_cc1_i1_a3c,CC,CC1,1,A3C
cc_cc1_i1_acer,CC,CC1,1,ACER
cc_cc1_i1_ddqn,CC,CC1,1,DDQN
cc_cc1_i2_rand,CC,CC1,2,RAND
cc_cc1_i2_a3c,CC,CC1,2,A3C
cc_cc1_i2_acer,CC,CC1,2,ACER
cc_cc1_i2_ddqn,CC,CC1,2,DDQN
cc_cc2_i1_rand,CC,CC2,1,RAND
cc_cc2_i1_a3c,CC,CC2,1,A3C
cc_cc2_i1_acer,CC,CC2,1,ACER
cc_cc2_i1_ddqn,CC,CC2,1,DDQN
cc_cc2_i2_rand,CC,CC2,2,RAND
cc_cc2_i2_a3c,CC,CC2,2,A3C
cc_cc2_i2_acer,CC,CC2,2,ACER
cc_cc2_i2_ddqn,CC,CC2,2,DDQN
cc_cc3_i1_rand,CC,CC3,1,RAND
cc_cc3_i1_a3c,CC,CC3,1,A3C
cc_cc3_i1_acer,CC,CC3,1,ACER
cc_cc3_i1_ddqn,CC,CC3,1,DDQN
cc_cc3_i2_rand,CC,CC3,2,RAND
cc_cc3_i2_a3c,CC,CC3,2,A3C
cc_cc3_i2_acer,CC,CC3,2,ACER
cc_cc3_i2_ddqn,CC,CC3,2,DDQN
cc_cc4_i1_rand,CC,CC4,1,RAND
cc_cc4_i1_a3c,CC,CC4,1,A3C
cc_cc4_i1_acer,CC,CC4,1,ACER
cc_cc4_i1_ddqn,CC,CC4,1,DDQN
cc_cc4_i2_rand,CC,CC4,2,RAND
cc_cc4_i2_a3c,CC,CC4,2,A3C
cc_cc4_i2_acer,CC,CC4,2,ACER
cc_cc4_i2_ddqn,CC,CC4,2,DDQN
cc_cc5_i1_rand,CC,CC5,1,RAND
cc_cc5_i1_a3c,CC,CC5,1,A3C
cc_cc5_i1_acer,CC,CC5,1,ACER
cc_cc5_i1_ddqn,CC,CC5,1,DDQN
cc_cc5_i2_rand,CC,CC5,2,RAND
cc_cc5_i2_a3c,CC,CC5,2,A3C
cc_cc5_i2_acer,CC,CC5,2,ACER
cc_cc5_i2_ddqn,CC,CC5,2,DDQN
cc_ccx_i1_rand,CC,CCx,1,RAND
cc_ccx_i1_a3c,CC,CCx,1,A3C
cc_ccx_i1_acer,CC,CCx,1,ACER
cc_ccx_i1_ddqn,CC,CCx,1,DDQN
cc_ccx_i2_rand,CC,CCx,2,RAND
cc_ccx_i2_a3c,CC,CCx,2,A3C
cc_ccx_i2_acer,CC,CCx,2,ACER
cc_ccx_i2_ddqn,CC,CCx,2,DDQN
nn_nn_i1_rand,NN,NN,1,RAND
nn_nn_i1_a3c,NN,NN,1,A3C
nn_nn_i1_acer,NN,NN,1,ACER
nn_nn_i1_ddqn,NN,NN,1,DDQN
nn_nn_i2_rand,NN,NN,2,RAND
nn_nn_i2_a3c,NN,NN,2,A3C
nn_nn_i2_acer,NN,NN,2,ACER
nn_nn_i2_ddqn,NN,NN,2,DDQN
nn_nnb_i1_rand,NN,NNb,1,RAND
nn_nnb_i1_a3c,NN,NNb,1,A3C
nn_nnb_i1_acer,NN,NNb,1,ACER
nn_nnb_i1_ddqn,NN,NNb,1,DDQN
nn_nnb_i2_rand,NN,NNb,2,RAND
nn_nnb_i2_a3c,NN,NNb,2,A3C
nn_nnb_i2_acer,NN,NNb,2,ACER
nn_nnb_i2_ddqn,NN,NNb,2,DDQN
nn_nnx_i1_rand,NN,NNx,1,RAND
nn_nnx_i1_a3c,NN,NNx,1,A3C
nn_nnx_i1_acer,NN,NNx,1,ACER
nn_nnx_i1_ddqn,NN,NNx,1,DDQN
nn_nnx_i2_rand,NN,NNx,2,RAND
nn_nnx_i2_a3c,NN,NNx,2,A3C
nn_nnx_i2_acer,NN,NNx,2,ACER
nn_nnx_i2_ddqn,NN,NNx,2,DDQN
f16_f16a_i1_rand,F16,F16a,1,RAND
f16_f16a_i1_a3c,F16,F16a,1,A3C
f16_f16a_i1_acer,F16,F16a,1,ACER
f16_f16a_i1_ddqn,F16,F16a,1,DDQN
sc_sca_i1_rand,SC,SCa,1,RAND
sc_sca_i1_a3c,SC,SCa,1,A3C
sc_sca_i1_acer,SC,SCa,1,ACER
sc_sca_i1_ddqn,SC,SCa,1,DDQN
sc_sca_i2_rand,SC,SCa,2,RAND
sc_sca_i2_a3c,SC,SCa,2,A3C
