Case,InputID,DisabledReplayError,CounterexampleReplayError
S01,I001,0,NaN
S02,I001,0,NaN
S03,I001,0,NaN
S04,I001,0,NaN
S05,I001,0,NaN
S06,I001,0,NaN
S07,I001,0,NaN
S08,I001,0,NaN
S09,I001,0,NaN
S01,I002,0,NaN
S02,I002,0,NaN
S03,I002,0,NaN
S04,I002,0,NaN
S05,I002,0,NaN
S06,I002,0,NaN
S07,I002,0,NaN
S08,I002,0,NaN
S09,I002,0,NaN
S01,I003,0,NaN
S02,I003,0,NaN
S03,I003,0,NaN
S04,I003,0,NaN
S05,I003,0,NaN
S06,I003,0,NaN
S07,I003,0,NaN
S08,I003,0,NaN
S09,I003,0,NaN
S01,I004,0,NaN
S02,I004,0,NaN
S03,I004,0,NaN
S04,I004,0,NaN
S05,I004,0,NaN
S06,I004,0,NaN
S07,I004,0,NaN
S08,I004,0,NaN
S09,I004,0,NaN
S01,I005,0,NaN
S02,I005,0,NaN
S03,I005,0,NaN
S04,I005,0,NaN
S05,I005,0,NaN
S06,I005,0,NaN
S07,I005,0,NaN
S08,I005,0,NaN
S09,I005,0,NaN
S01,I006,0,NaN
S02,I006,0,NaN
S03,I006,0,NaN
S04,I006,0,NaN
S05,I006,0,NaN
S06,I006,0,NaN
S07,I006,0,NaN
S08,I006,0,NaN
S09,I006,0,NaN
