InputID,Source,Throttle0,Throttle5,Throttle10,Throttle15,Throttle20,Throttle25
I001,representative,60.0,60.0,60.0,60.0,60.0,60.0
I002,representative,80.0,80.0,80.0,80.0,80.0,80.0
I003,representative,100.0,100.0,100.0,100.0,100.0,100.0
I004,representative,60.0,60.0,60.0,100.0,100.0,100.0
I005,representative,100.0,100.0,100.0,60.0,60.0,60.0
I006,representative,80.0,80.0,100.0,100.0,80.0,80.0
I007,corner,60.0,60.0,60.0,60.0,60.0,100.0
I008,corner,60.0,60.0,60.0,60.0,100.0,60.0
I009,corner,60.0,60.0,60.0,60.0,100.0,100.0
I010,corner,60.0,60.0,60.0,100.0,60.0,60.0
I011,corner,60.0,60.0,60.0,100.0,60.0,100.0
I012,corner,60.0,60.0,60.0,100.0,100.0,60.0
I013,corner,60.0,60.0,100.0,60.0,60.0,60.0
I014,corner,60.0,60.0,100.0,60.0,60.0,100.0
I015,corner,60.0,60.0,100.0,60.0,100.0,60.0
I016,corner,60.0,60.0,100.0,60.0,100.0,100.0
I017,corner,60.0,60.0,100.0,100.0,60.0,60.0
I018,corner,60.0,60.0,100.0,100.0,60.0,100.0
I019,corner,60.0,60.0,100.0,100.0,100.0,60.0
I020,corner,60.0,60.0,100.0,100.0,100.0,100.0
I021,corner,60.0,100.0,60.0,60.0,60.0,60.0
I022,corner,60.0,100.0,60.0,60.0,60.0,100.0
I023,corner,60.0,100.0,60.0,60.0,100.0,60.0
I024,corner,60.0,100.0,60.0,60.0,100.0,100.0
I025,corner,60.0,100.0,60.0,100.0,60.0,60.0
I026,corner,60.0,100.0,60.0,100.0,60.0,100.0
I027,corner,60.0,100.0,60.0,100.0,100.0,60.0
I028,corner,60.0,100.0,60.0,100.0,100.0,100.0
I029,corner,60.0,100.0,100.0,60.0,60.0,60.0
I030,corner,60.0,100.0,100.0,60.0,60.0,100.0
I031,corner,60.0,100.0,100.0,60.0,100.0,60.0
I032,corner,60.0,100.0,100.0,60.0,100.0,100.0
I033,corner,60.0,100.0,100.0,100.0,60.0,60.0
I034,corner,60.0,100.0,100.0,100.0,60.0,100.0
I035,corner,60.0,100.0,100.0,100.0,100.0,60.0
I036,corner,60.0,100.0,100.0,100.0,100.0,100.0
I037,corner,100.0,60.0,60.0,60.0,60.0,60.0
I038,corner,100.0,60.0,60.0,60.0,60.0,100.0
I039,corner,100.0,60.0,60.0,60.0,100.0,60.0
I040,corner,100.0,60.0,60.0,60.0,100.0,100.0
I041,corner,100.0,60.0,60.0,100.0,60.0,60.0
I042,corner,100.0,60.0,60.0,100.0,60.0,100.0
I043,corner,100.0,60.0,60.0,100.0,100.0,60.0
I044,corner,100.0,60.0,60.0,100.0,100.0,100.0
I045,corner,100.0,60.0,100.0,60.0,60.0,60.0
I046,corner,100.0,60.0,100.0,60.0,60.0,100.0
I047,corner,100.0,60.0,100.0,60.0,100.0,60.0
I048,corner,100.0,60.0,100.0,60.0,100.0,100.0
I049,corner,100.0,60.0,100.0,100.0,60.0,60.0
I050,corner,100.0,60.0,100.0,100.0,60.0,100.0
I051,corner,100.0,60.0,100.0,100.0,100.0,60.0
I052,corner,100.0,60.0,100.0,100.0,100.0,100.0
I053,corner,100.0,100.0,60.0,60.0,60.0,60.0
I054,corner,100.0,100.0,60.0,60.0,60.0,100.0
I055,corner,100.0,100.0,60.0,60.0,100.0,60.0
I056,corner,100.0,100.0,60.0,60.0,100.0,100.0
I057,corner,100.0,100.0,60.0,100.0,60.0,60.0
I058,corner,100.0,100.0,60.0,100.0,60.0,100.0
I059,corner,100.0,100.0,60.0,100.0,100.0,60.0
I060,corner,100.0,100.0,60.0,100.0,100.0,100.0
I061,corner,100.0,100.0,100.0,60.0,60.0,100.0
I062,corner,100.0,100.0,100.0,60.0,100.0,60.0
I063,corner,100.0,100.0,100.0,60.0,100.0,100.0
I064,corner,100.0,100.0,100.0,100.0,60.0,60.0
I065,corner,100.0,100.0,100.0,100.0,60.0,100.0
I066,corner,100.0,100.0,100.0,100.0,100.0,60.0
I067,lhs,65.72650830205521,97.60892769904422,93.36894635622261,62.62980639933416,76.89274239200913,97.94099691394052
I068,lhs,80.32914033041885,83.66588876079581,74.44688764130579,74.01660150246919,86.55777569783815,74.42175074924354
I069,lhs,95.07610274132408,63.05217081888893,95.38310174158008,86.74988518224521,64.06574369106298,80.0457132327071
I070,lhs,87.27066139591403,77.1234124374093,76.47030852204733,63.29610868696737,70.80985675888385,94.4323312081668
I071,lhs,63.740892665240374,88.35827722363975,92.9941417549003,71.74853130399391,83.42366068000197,65.33141417979363
I072,lhs,93.42837612433615,86.81679820458329,91.16078724141582,87.44715682384944,70.60935962521928,85.86629784707654
I073,lhs,62.60590114491653,74.5529123795579,97.96143546869028,68.38278640179027,96.27685292693079,89.43559284466028
I074,lhs,90.08744805445065,64.63750550448684,67.58188103261587,78.63600034835407,66.20858023320251,98.5480078218527
I075,lhs,72.256103882426,91.66664042188575,87.95882785641933,72.73108833965182,82.79419710188883,82.0252940554488
I076,lhs,70.52424462530753,75.34047387684551,84.2131274630404,78.91901403303713,79.78416006730882,68.78419609917412
I077,lhs,60.486796632921624,62.00176903208346,77.81922372747191,84.60718402223253,68.3528117419675,82.61487631701918
I078,lhs,95.92973141533687,67.53313820557578,70.36133595913773,65.58683040226144,85.97715452050649,85.45240972011972
I079,lhs,77.50507479916777,84.17346622343536,71.63790085352038,82.97607794775008,76.48562358716501,61.82581454014429
I080,lhs,61.84870624762877,78.71734227021506,80.01188188530472,88.7254970971744,78.64357911305336,81.06585898928205
I081,lhs,75.28690000650079,60.70067732220912,75.02378468382754,60.01606426523103,66.7667729132503,79.5854214732393
I082,lhs,67.54622562597325,63.4117047694661,65.5047838412172,89.1396827374401,67.8636075308966,88.65086657482222
I083,lhs,87.80496791691264,95.63997848976095,61.42007680147858,72.03913378978655,93.059530980323,94.30843692419225
I084,lhs,84.50647199548017,72.53244198844314,89.83659719683553,90.52555156606087,95.22044703188618,75.94284828270241
I085,lhs,73.47515506068184,81.21666280995555,62.278313787354115,63.97330495017314,72.03690728807129,86.42343083099294
I086,lhs,71.86191364463751,98.38274725893105,70.94738825315119,64.85764257854831,64.88632776634367,70.61682667221979
I087,lhs,92.69033817573836,65.75874705170915,72.62950383816808,67.29320100638476,98.38905051299685,97.31806308282691
I088,lhs,79.8131371431639,73.45963422249928,77.15026072568011,66.55522428141863,73.17109590497923,92.19647828337656
I089,lhs,60.695746417227106,87.00528086748719,99.09382029169821,87.86255247433637,93.93996977870435,66.14159781625132
I090,lhs,98.34018487352753,85.63853758093117,81.577448447256,76.63945805957502,88.2648505832496,77.09576344470764
I091,lhs,69.9010415730287,69.16605362462434,92.39351960760074,93.05247173576237,84.02004697494303,95.35215297355012
I092,lhs,68.97656719715846,71.06064788758437,96.02982241495535,97.20345780989328,87.3038281310238,99.13943765733532
I093,lhs,84.1417815505518,94.91399277251995,68.49353482674877,91.63802156385566,91.26163291913849,66.77515589368498
I094,lhs,81.94157979185476,66.5883217134203,99.43504504206682,75.74579014892448,68.84707047538737,93.53129819294342
I095,lhs,72.9095526439941,76.51116704354229,89.31600908743172,60.793058495115794,61.2333168565947,71.36941187864548
I096,lhs,94.75230960327518,94.0239149015341,66.40645702197783,93.68907815525048,94.92541458521663,70.95809781982011
I097,lhs,63.8646756620531,72.2982868930294,63.906535470114676,80.26033428195385,81.12999964901638,81.44155343069212
I098,lhs,76.33733142275615,98.95969704694433,67.40868184188837,66.1899118488895,82.4400229661583,92.59904926351388
I099,lhs,89.15087056597542,79.37291400320976,73.16370966433394,69.65075906448769,60.026001727834135,79.33361433903525
I100,lhs,81.73119851024131,82.31308289927037,82.76729719324398,98.72948790265235,73.98440490631137,72.25836746273966
I101,lhs,97.87312119214322,80.31323715678869,60.69271615418127,84.2943780077682,93.68718142589964,60.70235173174955
I102,lhs,64.72212288676553,82.73337954504527,94.08860447930715,78.02406282523204,69.57483846529892,76.58883767052679
I103,lhs,70.75701166793719,76.13678538113041,60.332206684986055,90.70682891133495,91.96532730782761,78.35549649425755
I104,lhs,82.99079168075507,77.86837102925672,98.69134837909392,85.91197089850505,81.58376343689297,60.42682143569303
I105,lhs,89.82885924686258,69.45266264167765,64.4901345624555,79.4333662608983,79.35758488667531,63.486867251024165
I106,lhs,91.91672889213932,65.19785746458635,79.55065556124028,68.87913596799181,75.72024521915434,78.10191220769696
I107,lhs,75.65757419392752,79.9672636957091,79.18186227566613,82.28786058786292,84.77938342065303,96.86942204193198
I108,lhs,62.04972549961522,87.87181150086575,69.29879865880673,99.34263791822521,85.2591541672019,95.91150371638578
I109,lhs,90.72561779486648,96.59720262838827,87.32595477427525,89.39866002975549,67.211735070877,89.04232989650738
I110,lhs,65.56428412652912,90.25018368464977,84.80886712309095,92.22060838918935,80.33398513052065,73.0547661933718
I111,lhs,67.25291815382919,97.29321938015107,83.60585983057976,96.8255348439864,90.3027579829858,73.20702926136813
I112,lhs,78.71047011988544,89.0796954762717,86.47370395750158,99.95771618476911,88.86792121885753,67.1871257823629
I113,lhs,96.84673440239615,89.93578156776866,75.86890983113068,62.11975146163907,73.05568359276973,64.90616409775758
I114,lhs,68.40983280990189,74.33916879481237,91.85438636468979,77.34185198108482,71.81793285084196,87.56018712821755
I115,lhs,93.88321924166998,61.7785793303682,62.56141823379771,73.6613052353327,77.75513149346727,68.13667872596308
I116,lhs,83.7082656000643,63.9054863517165,85.9407962341045,95.148526282351,65.45629026479605,63.801982928767906
I117,lhs,85.74090583644197,93.03590221809475,94.99906853582603,96.19511756196557,91.18296997910588,83.18722816581828
I118,lhs,97.40818022011891,91.0002257136536,88.63053806030119,80.68573535466456,98.76052109267368,67.5137004545724
I119,lhs,99.14834414160632,60.27651560447104,69.57833485810073,61.40449821517025,89.71246265316819,90.42002515040863
I120,lhs,74.17432755886323,71.52463389131636,65.748428393951,70.95710938567345,97.69740672488261,69.38862948685251
I121,lhs,66.80106059252347,67.03798058650831,78.61660627740463,85.05396941729276,63.70220211741966,75.38670707919574
I122,lhs,86.30896495335057,70.50406357154223,96.93833272236424,81.31015642069227,75.58112446945452,73.85282445658456
I123,lhs,85.03554782345115,68.7058038616704,74.31188180937313,75.209827117805,62.82567029227962,91.17764753793959
I124,lhs,79.3504847805988,92.15945417732004,96.54373592974656,67.963739300544,61.526483563757864,87.44339682918198
I125,lhs,77.07921624386694,81.28495687142735,72.2714315488415,70.36672578046999,99.58387009084007,91.4969456943544
I126,lhs,91.7290169612593,85.05195274950012,90.38128459716891,74.86975518864928,61.93866010844624,62.81328725544019
I127,lhs,81.16765852833646,95.23439371283973,81.21456770172706,93.76312641213468,87.72121156023329,62.2364060380215
I128,lhs,88.56986865043905,99.3982197561738,63.644856788793945,83.1859415193689,97.11525445109535,84.03042819435109
I129,lhs,99.74673120316194,84.42360859348202,82.06945102773417,97.81527318003046,74.60134057344895,99.74945136924039
I130,lhs,74.65342934372246,93.2148297021409,85.34285019463162,94.81945920420908,96.0102940361479,84.61144596121319
