Case,InputID,Source,Onset,Duration,MarginMPH,NormalMarginMPH,Violation,GearPass,HeldSamples,FirstReachSeconds,BeforeFaultError,SimulationSeconds
B00,I001,representative,0,0,1.1446578131453,1.1446578131453,0,1,0,19.44,0,4.26150870833333
S01,I001,representative,5,0.2,1.1446578131453,1.1446578131453,0,1,0,19.44,0,0.542018916666667
S02,I001,representative,5,0.5,1.1446578131453,1.1446578131453,0,1,0,19.44,0,0.5403895
S03,I001,representative,5,1,1.1446578131453,1.1446578131453,0,1,0,19.44,0,0.859524333333333
S04,I001,representative,10,0.2,1.1446578131453,1.1446578131453,0,1,0,19.44,0,0.846207083333333
S05,I001,representative,10,0.5,1.1446578131453,1.1446578131453,0,1,0,19.44,0,0.898473541666667
S06,I001,representative,10,1,1.1446578131453,1.1446578131453,0,1,0,19.44,0,0.912411125
S07,I001,representative,15,0.2,1.1446578131453,1.1446578131453,0,1,0,19.44,0,0.887311416666667
S08,I001,representative,15,0.5,1.1446578131453,1.1446578131453,0,1,0,19.44,0,0.877778041666667
S09,I001,representative,15,1,1.1446578131453,1.1446578131453,0,1,0,19.44,0,0.893490666666667
B00,I002,representative,0,0,18.5735298576981,18.5735298576981,0,1,0,12.61,0,0.9660555
S01,I002,representative,5,0.2,18.5735298576981,18.5735298576981,0,1,0,12.61,0,0.437543666666667
S02,I002,representative,5,0.5,18.5735298576981,18.5735298576981,0,1,0,12.61,0,0.435151083333333
S03,I002,representative,5,1,18.8536250544204,18.5735298576981,0,1,40,12.48,0,0.541550166666667
S04,I002,representative,10,0.2,18.5735298576981,18.5735298576981,0,1,0,12.61,0,0.492799416666667
S05,I002,representative,10,0.5,18.5735298576981,18.5735298576981,0,1,0,12.61,0,0.428770375
S06,I002,representative,10,1,18.5735298576981,18.5735298576981,0,1,0,12.61,0,0.433843625
S07,I002,representative,15,0.2,18.5735298576981,18.5735298576981,0,1,0,12.61,0,0.423906791666667
S08,I002,representative,15,0.5,18.5735298576981,18.5735298576981,0,1,0,12.61,0,0.429365291666667
S09,I002,representative,15,1,18.5735298576981,18.5735298576981,0,1,0,12.61,0,0.441356583333333
B00,I003,representative,0,0,25.2132714926152,25.2132714926152,0,1,0,11.02,0,0.459130166666667
S01,I003,representative,5,0.2,25.2132714926152,25.2132714926152,0,1,0,11.02,0,0.478197833333333
S02,I003,representative,5,0.5,25.2132714926152,25.2132714926152,0,1,0,11.02,0,0.453238791666667
S03,I003,representative,5,1,25.2132714926152,25.2132714926152,0,1,0,11.02,0,0.457887458333333
S04,I003,representative,10,0.2,25.2132714926152,25.2132714926152,0,1,0,11.02,0,0.467818833333333
S05,I003,representative,10,0.5,25.2132714926152,25.2132714926152,0,1,0,11.02,0,0.456875208333333
S06,I003,representative,10,1,25.2132714926152,25.2132714926152,0,1,0,11.02,0,0.797077166666667
S07,I003,representative,15,0.2,25.2132714926152,25.2132714926152,0,1,0,11.02,0,0.556778666666667
S08,I003,representative,15,0.5,25.2132714926152,25.2132714926152,0,1,0,11.02,0,0.498258916666667
S09,I003,representative,15,1,25.2132714926152,25.2132714926152,0,1,0,11.02,0,0.46908675
B00,I004,representative,0,0,5.50482868039258,5.50482868039258,0,1,0,18.12,0,0.496977208333333
S01,I004,representative,5,0.2,5.50482868039258,5.50482868039258,0,1,0,18.12,0,0.442210416666667
S02,I004,representative,5,0.5,5.50482868039258,5.50482868039258,0,1,0,18.12,0,0.43410675
S03,I004,representative,5,1,5.50482868039258,5.50482868039258,0,1,0,18.12,0,0.498882041666667
S04,I004,representative,10,0.2,5.50482868039258,5.50482868039258,0,1,0,18.12,0,0.441000291666667
