TimeSeconds,RPM,SpeedMPH,Gear,CommandedGear,AppliedGear,GearRatio,FaultGate
0,1000,0,1,1,1,2.393,0
0.01,1102.7155624161,0.0573843761754299,1,1,1,2.393,0
0.02,1203.22520984555,0.126346526944163,1,1,1,2.393,0
0.03,1299.86881179099,0.20772410973202,1,1,1,2.393,0
0.04,1391.29873734002,0.301762405055174,1,1,1,2.393,0
0.05,1477.41058208738,0.40847373601134,1,1,1,2.393,0
0.06,1558.17170300184,0.527701626250229,1,1,1,2.393,0
0.07,1633.56469289061,0.659140148820155,1,1,1,2.393,0
0.08,1703.38880522144,0.80232516187555,1,1,1,2.393,0
0.09,1767.76862760814,0.956655363956169,1,1,1,2.393,0
0.1,1826.9363651056,1.12145228159903,1,1,1,2.393,0
0.11,1881.1503918892,1.29598579570628,1,1,1,2.393,0
0.12,1930.68679578946,1.47949464830457,1,1,1,2.393,0
0.13,1975.83198049558,1.67120417038869,1,1,1,2.393,0
0.14,2016.85997875481,1.87034451714469,1,1,1,2.393,0
0.15,2053.901076931,2.07653147147043,1,1,1,2.393,0
0.16,2087.19026896017,2.28936758774022,1,1,1,2.393,0
0.17,2117.02884409123,2.50815915953816,1,1,1,2.393,0
0.18,2143.70472667588,2.73224596937281,1,1,1,2.393,0
0.19,2167.49069904051,2.9610050253776,1,1,1,2.393,0
0.2,2188.64328431593,3.19385279594858,1,1,1,2.393,0
0.21,2207.40217055499,3.43024622003727,1,1,1,2.393,0
0.22,2223.99006861705,3.66968274365896,1,1,1,2.393,0
0.23,2238.61290897147,3.911699602699,1,1,1,2.393,0
0.24,2251.4602956464,4.15587254091426,1,1,1,2.393,0
0.25,2262.79936321378,4.40144037452911,1,1,1,2.393,0
0.26,2272.87809792066,4.64767441863239,1,1,1,2.393,0
0.27,2281.82732385174,4.89428371007143,1,1,1,2.393,0
0.28,2289.76508464992,5.14100874079179,1,1,1,2.393,0
0.29,2296.79792095318,5.38761776501794,1,1,1,2.393,0
0.3,2303.02182184546,5.63390437840423,1,1,1,2.393,0
0.31,2308.52313501418,5.87968522094735,1,1,1,2.393,0
0.32,2313.37942793572,6.12479781902612,1,1,1,2.393,0
0.33,2317.66029547305,6.3690985747936,1,1,1,2.393,0
0.34,2321.55405775769,6.6122421162033,1,1,1,2.393,0
0.35,2325.3880116453,6.85366143322545,1,1,1,2.393,0
0.36,2329.17338340708,7.09335408578578,1,1,1,2.393,0
0.37,2332.91184910835,7.33133424242811,1,1,1,2.393,0
0.38,2336.6049486728,7.56761612161726,1,1,1,2.393,0
0.39,2340.25410055885,7.8022139627724,1,1,1,2.393,0
0.4,2343.86061474629,8.03514200125434,1,1,1,2.393,0
0.41,2347.42570423077,8.26641444681448,1,1,1,2.393,0
0.42,2350.95049520039,8.49604546507366,1,1,1,2.393,0
0.43,2354.43844255887,8.72403948093047,1,1,1,2.393,0
0.44,2357.98547497689,8.95001960128626,1,1,1,2.393,0
0.45,2361.64092594078,9.17377508440438,1,1,1,2.393,0
0.46,2365.38503526759,9.39537302575117,1,1,1,2.393,0
0.47,2369.20061384491,9.61487415244614,1,1,1,2.393,0
0.48,2373.07271603001,9.83233362217323,1,1,1,2.393,0
0.49,2376.98835457982,10.047801715689,1,1,1,2.393,0
0.5,2380.93625236665,10.2613244377475,1,1,1,2.393,0
0.51,2384.90662596071,10.472944039072,1,1,1,2.393,0
0.52,2388.89099685746,10.6826994701611,1,1,1,2.393,0
0.53,2392.88202671758,10.8906267761692,1,1,1,2.393,0
0.54,2396.8764037788,11.0967547761553,1,1,1,2.393,0
0.55,2401.0642803982,11.3008201054727,1,1,1,2.393,0
0.56,2405.50429098353,11.5027480270182,1,1,1,2.393,0
0.57,2410.14555143374,11.7026456591631,1,1,1,2.393,0
0.58,2414.95060149912,11.9006062895785,1,1,1,2.393,0
0.59,2419.88743054551,12.0967117392107,1,1,1,2.393,0
0.6,2424.92868799307,12.2910340316964,1,1,1,2.393,0
0.61,2430.0510117852,12.4836368064018,1,1,1,2.393,0
0.62,2435.23445628398,12.6745765167321,1,1,1,2.393,0
0.63,2440.46200415033,12.8639034480748,1,1,1,2.393,0
0.64,2445.71914933783,13.0516625838549,1,1,1,2.393,0
0.65,2450.99354043183,13.237894343387,1,1,1,2.393,0
0.66,2456.27467529402,13.4226352112971,1,1,1,2.393,0
0.67,2461.55363940099,13.605918275065,1,1,1,2.393,0
0.68,2466.91038546651,13.7876514986855,1,1,1,2.393,0
0.69,2472.52993709864,13.9676062983492,1,1,1,2.393,0
0.7,2478.3670503994,14.1458824505843,1,1,1,2.393,0
0.71,2484.37753282318,14.3225741996598,1,1,1,2.393,0
0.72,2490.52416694959,14.4977625449175,1,1,1,2.393,0
0.73,2496.77560686299,14.6715173580527,1,1,1,2.393,0
0.74,2503.10545566514,14.8438991440859,1,1,1,2.393,0
0.75,2509.49149265025,15.0149605096735,1,1,1,2.393,0
0.76,2515.915024578,15.1847473901335,1,1,1,2.393,0
0.77,2522.36034016888,15.3533000768737,1,1,1,2.393,0
0.78,2528.81425069503,15.5206540792202,1,1,1,2.393,0
0.79,2535.26570255683,15.6868408484882,1,1,1,2.393,0
0.8,2541.70545017725,15.8518883871906,1,1,1,2.393,0
0.81,2548.12577953381,16.0158217622748,1,1,1,2.393,0
0.82,2554.52027427264,16.1786635380223,1,1,1,2.393,0
0.83,2560.88361768469,16.3404341415894,1,1,1,2.393,0
0.84,2567.21142492404,16.5011521719858,1,1,1,2.393,0
0.85,2573.50090587633,16.6608335606134,1,1,1,2.393,0
0.86,2579.87894982644,16.8193216064446,1,1,1,2.393,0
0.87,2586.38282955303,16.9765865802937,1,1,1,2.393,0
0.88,2592.98188314663,17.1326892699239,1,1,1,2.393,0
0.89,2599.65053799895,17.2876816571924,1,1,1,2.393,0
0.9,2606.36747141821,17.4416083794431,1,1,1,2.393,0
0.91,2613.11491374776,17.5945079375992,1,1,1,2.393,0
0.92,2619.87806867388,17.746413697041,1,1,1,2.393,0
0.93,2626.64463019558,17.8973547184204,1,1,1,2.393,0
0.94,2633.40437953484,18.0473564485,1,1,1,2.393,0
0.95,2640.14884831202,18.1964412954905,1,1,1,2.393,0
0.96,2646.87103676298,18.3446291088697,1,1,1,2.393,0
0.97,2653.56517775782,18.4919375800491,1,1,1,2.393,0
0.98,2660.22653899336,18.6383825773384,1,1,1,2.393,0
0.99,2666.85125704729,18.7839784262831,1,1,1,2.393,0
1,2673.436198059,18.9287381445231,1,1,1,2.393,0
1.01,2679.97884068803,19.0726736387375,1,1,1,2.393,0
1.02,2686.47717772991,19.2157958699465,1,1,1,2.393,0
1.03,2692.92963337248,19.3581149923788,1,1,1,2.393,0
1.04,2699.3349935741,19.499640470231,1,1,1,2.393,0
1.05,2705.69234745944,19.6403811759231,1,1,1,2.393,0
1.06,2712.00103797232,19.7803454728539,1,1,1,2.393,0
1.07,2718.26062031142,19.9195412851621,1,1,1,2.393,0
1.08,2724.47082691311,20.0579761565846,1,1,1,2.393,0
1.09,2730.63188337501,20.1956568832793,1,1,1,2.393,0
1.1,2736.84794258047,20.3324725201001,1,1,1,2.393,0
1.11,2743.14799574308,20.4684043732786,1,1,1,2.393,0
1.12,2749.53038580023,20.6034611365825,1,1,1,2.393,0
1.13,2756.17889866218,20.7373740630784,1,1,1,2.393,0
1.14,2763.088457799,20.8701566678087,1,1,1,2.393,0
1.15,2770.19634572244,21.0019085810515,1,1,1,2.393,0
1.16,2777.42346207308,21.1327663134152,1,1,1,2.393,0
1.17,2784.72589572844,21.2628053471289,1,1,1,2.393,0
1.18,2792.07900595734,21.3920671830903,1,1,1,2.393,0
1.19,2799.49978326027,21.520580953271,1,1,1,2.393,0
1.2,2807.02916325558,21.6483788710376,1,1,1,2.393,0
1.21,2814.62580249721,21.7755056743918,1,1,1,2.393,0
1.22,2822.26692848657,21.9019956533178,1,1,1,2.393,0
1.23,2830.04288094945,22.0277508668308,1,1,1,2.393,0
1.24,2838.00096707532,22.1527267426061,1,1,1,2.393,0
