Case,Input,Delta,TargetSpeedMPH,DeadlineSeconds,AccelerationRhoMPH,AccelerationPass,GearRangePass,GearDiscretePass,GearRho,Pass,FaultInducedViolation,FirstReachSeconds,SpeedAtDeadlineMPH,SpeedAt30MPH,SpeedLossAtDeadlineMPH,MinRPM,MaxRPM,MinGear,MaxGear,MinimumTorqueRatio,InjectionError,TorqueProductError,AccelerationMonitorError,GearMonitorError,ElapsedSeconds
B00,A,0,95,20,1.1446578131453,1,1,1,0,1,0,19.44,96.1446578131453,113.615153761002,0,1000,3724.3459132871,1,4,0.998004016336324,0,0,0,0,1.54568495833333
B00,B,0,95,20,18.5735298576981,1,1,1,0,1,0,12.61,113.573529857698,131.350807954175,0,1000,4364.28072054078,1,4,0.998003077624361,0,0,0,0,0.817921375
B00,C,0,95,20,25.2132714926152,1,1,1,0,1,0,11.02,120.213271492615,137.980199361427,0,1000,4768.27718786212,1,4,0.998001102870164,0,0,0,0,0.808082166666667
B00,D,0,95,20,5.50482868039258,1,1,1,0,1,0,18.12,100.504828680393,124.810060532202,0,1000,4105.71272598858,1,4,0.998003044077746,0,0,0,0,0.567106916666667
B00,E,0,95,20,20.7942439762445,1,1,1,0,1,0,11.02,115.794243976245,126.644768468784,0,1000,4768.27718786212,1,4,0.998001102870164,0,0,0,0,0.453492833333333
B00,F,0,95,20,22.8804073641787,1,1,1,0,1,0,12.06,117.880407364179,134.11295982305,0,1000,4701.01876303038,1,4,0.998007264363945,0,0,0,0,0.443435541666667
T01,A,0.02,95,20,0.343366642004582,1,1,1,0,1,0,19.83,95.3433666420046,112.481052196604,0.801291171140718,1000,3694.53275446364,1,4,0.978003794712154,0,0,0,0,0.523804333333333
T01,B,0.02,95,20,17.6312510227932,1,1,1,0,1,0,12.81,112.631251022793,130.135362963737,0.94227883490494,1000,4359.72808039923,1,4,0.978003641016763,0,0,0,0,0.806858875
T01,C,0.02,95,20,24.2570350007707,1,1,1,0,1,0,11.16,119.257035000771,136.720705333695,0.956236491844564,1000,4773.26914214294,1,4,0.978028882277036,0,0,0,0,0.48246225
T01,D,0.02,95,20,4.60957077993213,1,1,1,0,1,0,18.39,99.6095707799321,123.49588409223,0.89525790046045,1000,4070.03635843843,1,4,0.978001583620453,0,0,0,0,0.496218166666667
T01,E,0.02,95,20,19.9378271343423,1,1,1,0,1,0,11.16,114.937827134342,125.616433137093,0.856416841902188,1000,4773.26914214294,1,4,0.978028882277036,0,0,0,0,0.459735333333333
T01,F,0.02,95,20,21.935991454843,1,1,1,0,1,0,12.23,116.935991454843,132.908573858159,0.944415909335646,1000,4701.05483849491,1,4,0.978005655972102,0,0,0,0,0.465002458333333
T02,A,0.05,95,20,-0.87490356790515,0,1,1,0,0,1,20.47,94.1250964320948,110.738911811476,2.01956138105045,1000,3648.46228284407,1,4,0.948001904331055,0,0,0,0,0.45487325
T02,B,0.05,95,20,16.2331475549955,1,1,1,0,1,0,13.11,111.233147554996,128.307829132036,2.34038230270259,1000,4367.0428539543,1,4,0.948002482407003,0,0,0,0,0.791477916666667
T02,C,0.05,95,20,22.8540054960209,1,1,1,0,1,0,11.39,117.854005496021,134.819789329261,2.35926599659429,1000,4773.31085809541,1,4,0.948017382887711,0,0,0,0,0.452182
T02,D,0.05,95,20,3.25384294380291,1,1,1,0,1,0,18.82,98.2538429438029,121.49744904519,2.25098573658967,1000,4015.52163738092,1,4,0.9480012223814,0,0,0,0,0.500727791666667
T02,E,0.05,95,20,18.6766525481893,1,1,1,0,1,0,11.39,113.676652548189,124.076207341967,2.11759142805521,1000,4773.31085809541,1,4,0.948017382887711,0,0,0,0,0.45811125
T02,F,0.05,95,20,20.5484860021725,1,1,1,0,1,0,12.48,115.548486002172,131.108100118737,2.3319213620062,1000,4702.58391119067,1,4,0.948006320445386,0,0,0,0,0.436871458333333
T03,A,0.1,95,20,-2.89549494980734,0,1,1,0,0,1,21.67,92.1045050501927,107.772666634531,4.04015276295264,1000,3567.85789233608,1,4,0.898000856287056,0,0,0,0,0.451437791666667
T03,B,0.1,95,20,13.81786509592,1,1,1,0,1,0,13.7,108.81786509592,125.167081931494,4.75566476177814,1000,4354.81583185739,1,4,0.898003286355101,0,0,0,0,0.775983083333333
T03,C,0.1,95,20,20.4315521684325,1,1,1,0,1,0,11.83,115.431552168433,131.55798082709,4.78171932418267,1000,4763.42317179593,1,4,0.898007699841184,0,0,0,0,0.402713166666667
T03,D,0.1,95,20,1.02627014859721,1,1,1,0,1,0,19.6,96.0262701485972,118.138144205023,4.47855853179537,1000,3923.3291439019,1,4,0.898000970771398,0,0,0,0,0.4037625
T03,E,0.1,95,20,16.4713928619314,1,1,1,0,1,0,11.83,111.471392861931,121.408359857522,4.32285111431314,1000,4763.42317179593,1,4,0.898007699841184,0,0,0,0,0.403091458333333
T03,F,0.1,95,20,18.1797352196571,1,1,1,0,1,0,12.97,113.179735219657,128.035850064277,4.70067214452155,1000,4703.49830628016,1,4,0.898010964674895,0,0,0,0,0.406182916666667
