Input,Throttle0,Throttle5,Throttle10,Throttle15,Throttle20,Throttle25,Rho,GearPass,SimulationSeconds
1,60,60,60,60,60,60,0.0143082226643163,1,5.13287970833333
2,60,60,60,60,60,100,0.0143082226643163,1,0.594100916666667
3,60,60,60,60,100,60,0.0143082226643163,1,0.560288125
4,60,60,60,60,100,100,0.0143082226643163,1,0.550315958333333
5,60,60,60,100,60,60,0.0688103585049072,1,0.529911666666667
6,60,60,60,100,60,100,0.0688103585049072,1,0.516045333333333
7,60,60,60,100,100,60,0.0688103585049072,1,0.544113291666667
8,60,60,60,100,100,100,0.0688103585049072,1,0.521697375
9,60,60,100,60,60,60,0.136052687932175,1,0.506682166666667
10,60,60,100,60,60,100,0.136052687932175,1,0.523625916666667
11,60,60,100,60,100,60,0.136052687932175,1,0.502967791666667
12,60,60,100,60,100,100,0.136052687932175,1,0.514159791666667
13,60,60,100,100,60,60,0.205547473431467,1,0.546499291666667
14,60,60,100,100,60,100,0.205547473431467,1,0.502896208333333
15,60,60,100,100,100,60,0.205547473431467,1,0.496064541666667
16,60,60,100,100,100,100,0.205547473431467,1,0.47526325
17,60,100,60,60,60,60,0.0773295237611812,1,0.589881291666667
18,60,100,60,60,60,100,0.0773295237611812,1,0.518764208333333
19,60,100,60,60,100,60,0.0773295237611812,1,0.490408583333333
20,60,100,60,60,100,100,0.0773295237611812,1,0.502593708333333
21,60,100,60,100,60,60,0.133249116740786,1,0.481964666666667
22,60,100,60,100,60,100,0.133249116740786,1,0.4696145
23,60,100,60,100,100,60,0.133249116740786,1,0.486517291666667
24,60,100,60,100,100,100,0.133249116740786,1,0.481103708333333
25,60,100,100,60,60,60,0.192190173478644,1,0.647667
26,60,100,100,60,60,100,0.192190173478644,1,0.569903791666667
27,60,100,100,60,100,60,0.192190173478644,1,0.512164041666667
28,60,100,100,60,100,100,0.192190173478644,1,0.474133291666667
29,60,100,100,100,60,60,0.247332393493477,1,0.459638916666667
30,60,100,100,100,60,100,0.247332393493477,1,0.453015083333333
31,60,100,100,100,100,60,0.247332393493477,1,0.467447125
32,60,100,100,100,100,100,0.247332393493477,1,0.474715416666667
33,100,60,60,60,60,60,0.0801062970708339,1,0.4737765
34,100,60,60,60,60,100,0.0801062970708339,1,0.457693666666667
35,100,60,60,60,100,60,0.0801062970708339,1,0.447950666666667
36,100,60,60,60,100,100,0.0801062970708339,1,0.45439525
37,100,60,60,100,60,60,0.136078057928734,1,0.446317375
38,100,60,60,100,60,100,0.136078057928734,1,0.454198458333333
39,100,60,60,100,100,60,0.136078057928734,1,0.463030208333333
40,100,60,60,100,100,100,0.136078057928734,1,0.460956958333333
41,100,60,100,60,60,60,0.193363736423413,1,0.461102125
42,100,60,100,60,60,100,0.193363736423413,1,0.46422475
43,100,60,100,60,100,60,0.193363736423413,1,0.465361833333333
44,100,60,100,60,100,100,0.193363736423413,1,0.485939375
45,100,60,100,100,60,60,0.248491468936637,1,0.458481583333333
46,100,60,100,100,60,100,0.248491468936637,1,0.472656916666667
47,100,60,100,100,100,60,0.248491468936637,1,0.495389625
48,100,60,100,100,100,100,0.248491468936637,1,0.476956541666667
49,100,100,60,60,60,60,0.18505498441964,1,0.623242958333333
50,100,100,60,60,60,100,0.18505498441964,1,1.03283966666667
51,100,100,60,60,100,60,0.18505498441964,1,0.77657625
52,100,100,60,60,100,100,0.18505498441964,1,0.68825275
53,100,100,60,100,60,60,0.24029365733974,1,0.560314125
54,100,100,60,100,60,100,0.24029365733974,1,0.565230833333333
55,100,100,60,100,100,60,0.24029365733974,1,0.510657708333333
56,100,100,60,100,100,100,0.24029365733974,1,0.496621333333333
57,100,100,100,60,60,60,0.259928049703056,1,0.482477125
58,100,100,100,60,60,100,0.259928049703056,1,0.465738666666667
59,100,100,100,60,100,60,0.259928049703056,1,0.473906583333333
60,100,100,100,60,100,100,0.259928049703056,1,0.459382833333333
61,100,100,100,100,60,60,0.31516589365769,1,0.438961541666667
62,100,100,100,100,60,100,0.31516589365769,1,0.447561416666667
63,100,100,100,100,100,60,0.31516589365769,1,0.435667416666667
64,100,100,100,100,100,100,0.31516589365769,1,0.437997291666667
65,87.151839287954,89.9354231187341,89.624224610317,77.6285089728547,79.3691942526414,88.5237207696731,0.279983099153907,1,0.439943583333333
66,96.0340557771807,62.8079642104162,64.4626715281676,84.5855390933055,70.6950513957282,77.3548809125718,0.143529256307865,1,0.455607333333333
67,78.5137323619449,89.16492502952,82.9119143571307,79.6288290658527,78.3095421008605,78.9318990165412,0.252314096252787,1,0.44399825
68,68.9147967790886,99.6515465017775,66.2210324096237,71.0708200167155,86.0960824247699,95.6505660639682,0.176047053123016,1,0.447832166666667
69,95.1732039666057,84.1303452550361,73.1425915755666,61.5502479075665,84.7149875191716,79.9330274001223,0.191878721994994,1,0.529472416666667
70,61.0517941512316,76.6999466712872,61.5597197122115,94.5016952741546,70.015529722226,62.6227802707183,0.115292783861702,1,0.637884916666667
71,64.0453355330526,67.7271224231751,97.2485479370355,92.9199141810702,99.4836816097551,81.9101573146598,0.224697452692103,1,0.517828958333333
72,86.6812918604322,88.2938520961056,90.7956755496044,88.8955280828177,91.7679851326036,65.2615215791514,0.292476382160246,1,0.584751541666667
73,69.6431271752345,83.5443819305614,93.2274658630814,90.7502138837708,68.7388012409165,87.2108983383128,0.267029732988411,1,0.510464041666667
74,76.5316634266314,75.9763251406664,69.3719116554924,70.5598154354916,82.2633401313554,93.9258544203691,0.156066818450818,1,0.549712458333333
75,81.929616519965,68.5513745342466,99.9640315318703,98.5692623415392,67.3206804073099,95.0733574823339,0.201615247979368,1,0.515550291666667
76,77.4010953402657,95.74465693054,81.44770163998,87.0726443202068,92.3373118545501,88.753748290035,0.255658361982199,1,0.548729625
77,89.4951340571596,94.8143628550579,88.4607774770227,81.3191343372342,63.0956548473061,61.852583639862,0.286826055460563,1,0.516563416666667
78,85.404406063764,79.3006531950161,93.8521638419282,85.0548749690503,96.9463015897506,66.5803429161446,0.276644649155808,1,0.535388916666667
79,84.8595234770711,74.7144619936307,72.9131261549875,92.3104249706996,91.1017681416714,61.9822411428382,0.204780700668537,1,0.531156458333333
80,64.7663930597903,97.8547663490865,76.141412594945,99.9656462076512,80.2532468907818,86.3398531800023,0.196035893900153,1,0.602988958333333
81,72.795963795823,92.6325054288929,91.505065735054,94.0257208909057,94.8909235211178,72.9453153044156,0.282424985474831,1,0.557566958333333
82,98.2193498225867,69.8708736329643,86.9493220631382,95.2920075185389,61.9956738500497,84.0168951648293,0.212282452369167,1,0.543706125
83,68.2501615294826,72.7386710947042,90.6074487078433,65.2475539913101,84.1138341293201,76.4203743934391,0.200449359718424,1,0.557668208333333
84,67.7139592639269,66.6105482876956,78.0032966619777,76.7612966182573,73.794889247481,73.6157851106108,0.130484606599451,1,0.595896416666667
85,93.2323800822831,65.2325105664393,98.1582407418299,71.7663361911488,92.7027650573792,96.7875546950909,0.168489214962528,1,0.550637875
