CaseID,Model,Requirement,Instance,Algorithm,Seed,Status,Episodes,ElapsedSeconds,FalsifyRobustness,FalsifyClassification,OfficialRobustness,OfficialClassification,InputRangePass,InputStructurePass,InputPass,InputMessage,FalsifyRunPass,OfficialReplayPass,ClassificationAgreementPass,MaximumTrajectoryError,TrajectoryEquivalencePass,OverallPass,InputTraceFile,StateTraceFile,ErrorIdentifier,ErrorMessage
sb_sb1_i2_rand,SB,SB1,2,RAND,20250730,VALIDATED,1,7.56417929166667,0.301639766693115,SATISFIED,15.0819873809814,SATISFIED,1,1,1,all input checks passed,1,1,1,2.86102294921875e-06,0,1,results/arch2025/clean_full196_20260904/traces/sb_sb1_i2_rand_input.csv,results/arch2025/clean_full196_20260904/traces/sb_sb1_i2_rand_state.csv,,
sb_sb1_i2_a3c,SB,SB1,2,A3C,20250731,VALIDATED,1,1.35402770833333,0.267546710968018,SATISFIED,13.3773355484009,SATISFIED,1,1,1,all input checks passed,1,1,1,1.43051147460938e-06,0,1,results/arch2025/clean_full196_20260904/traces/sb_sb1_i2_a3c_input.csv,results/arch2025/clean_full196_20260904/traces/sb_sb1_i2_a3c_state.csv,,
sb_sb1_i2_acer,SB,SB1,2,ACER,20250732,VALIDATED,1,0.984105875,0.29605128288269,SATISFIED,14.8025641441345,SATISFIED,1,1,1,all input checks passed,1,1,1,4.29153442382812e-06,0,1,results/arch2025/clean_full196_20260904/traces/sb_sb1_i2_acer_input.csv,results/arch2025/clean_full196_20260904/traces/sb_sb1_i2_acer_state.csv,,
sb_sb1_i2_ddqn,SB,SB1,2,DDQN,20250733,VALIDATED,1,0.824473625,0.229074840545654,SATISFIED,11.4537410736084,SATISFIED,1,1,1,all input checks passed,1,1,1,1.19209289550781e-06,0,1,results/arch2025/clean_full196_20260904/traces/sb_sb1_i2_ddqn_input.csv,results/arch2025/clean_full196_20260904/traces/sb_sb1_i2_ddqn_state.csv,,
sb_sb2_i2_rand,SB,SB2,2,RAND,20250734,VALIDATED,1,0.843639708333333,0.0907759094238281,SATISFIED,4.53879547119141,SATISFIED,1,1,1,all input checks passed,1,1,1,1.52587890625e-05,0,1,results/arch2025/clean_full196_20260904/traces/sb_sb2_i2_rand_input.csv,results/arch2025/clean_full196_20260904/traces/sb_sb2_i2_rand_state.csv,,
sb_sb2_i2_a3c,SB,SB2,2,A3C,20250735,VALIDATED,1,1.30824808333333,0.0161415863037109,SATISFIED,0.807071685791016,SATISFIED,1,1,1,all input checks passed,1,1,1,7.62939453835543e-06,0,1,results/arch2025/clean_full196_20260904/traces/sb_sb2_i2_a3c_input.csv,results/arch2025/clean_full196_20260904/traces/sb_sb2_i2_a3c_state.csv,,
sb_sb2_i2_acer,SB,SB2,2,ACER,20250736,VALIDATED,1,0.835053041666667,0.127797317504883,SATISFIED,6.38986206054688,SATISFIED,1,1,1,all input checks passed,1,1,1,2.6702880859375e-05,0,1,results/arch2025/clean_full196_20260904/traces/sb_sb2_i2_acer_input.csv,results/arch2025/clean_full196_20260904/traces/sb_sb2_i2_acer_state.csv,,
sb_sb2_i2_ddqn,SB,SB2,2,DDQN,20250737,VALIDATED,1,0.807159208333333,0.00762405395507813,SATISFIED,0.381202697753906,SATISFIED,1,1,1,all input checks passed,1,1,1,7.62939453125e-06,0,1,results/arch2025/clean_full196_20260904/traces/sb_sb2_i2_ddqn_input.csv,results/arch2025/clean_full196_20260904/traces/sb_sb2_i2_ddqn_state.csv,,
sb_sb3_i2_rand,SB,SB3,2,RAND,20250738,VALIDATED,1,0.875133375,0.480686283111572,SATISFIED,24.0343141555786,SATISFIED,1,1,1,all input checks passed,1,1,1,9.53674318182607e-07,1,1,results/arch2025/clean_full196_20260904/traces/sb_sb3_i2_rand_input.csv,results/arch2025/clean_full196_20260904/traces/sb_sb3_i2_rand_state.csv,,
sb_sb3_i2_a3c,SB,SB3,2,A3C,20250739,VALIDATED,1,1.30952283333333,0.353448944091797,SATISFIED,17.6724452972412,SATISFIED,1,1,1,all input checks passed,1,1,1,1.90734863370068e-06,0,1,results/arch2025/clean_full196_20260904/traces/sb_sb3_i2_a3c_input.csv,results/arch2025/clean_full196_20260904/traces/sb_sb3_i2_a3c_state.csv,,
sb_sb3_i2_acer,SB,SB3,2,ACER,20250740,VALIDATED,1,0.878895375,0.299143800735474,SATISFIED,14.9571814537048,SATISFIED,1,1,1,all input checks passed,1,1,1,8.58306884765625e-06,0,1,results/arch2025/clean_full196_20260904/traces/sb_sb3_i2_acer_input.csv,results/arch2025/clean_full196_20260904/traces/sb_sb3_i2_acer_state.csv,,
