CaseID,Model,Requirement,Instance,Algorithm,Seed,FalsifyRobustness,FalsifyClassification,OfficialRobustness,OfficialClassification,InputPass,OfficialReplayPass,ClassificationAgreementPass,InputTraceFile
sb_cc5_i1_ddqn,SB,CC5,1,DDQN,20250749,-0.0125745105743408,VIOLATED,-1.2574520111084,VIOLATED,1,1,1,results/arch2025/selected/sb__/traces/sb_cc5_i1_ddqn_input.csv
at_at2_i2_ddqn,AT,AT2,2,DDQN,20250741,-0.00374650590709716,VIOLATED,-9.57875249916106,VIOLATED,1,1,1,results/arch2025/selected/at__/traces/at_at2_i2_ddqn_input.csv
at_at52_i2_a3c,AT,AT52,2,A3C,20250752,-0.0666666666666667,VIOLATED,-0.1,VIOLATED,1,1,1,results/arch2025/selected/at__/traces/at_at52_i2_a3c_input.csv
at_at53_i1_rand,AT,AT53,1,RAND,20250754,-0.0666666666666667,VIOLATED,-0.1,VIOLATED,1,1,1,results/arch2025/selected/at__/traces/at_at53_i1_rand_input.csv
at_at53_i2_rand,AT,AT53,2,RAND,20250757,-0.0666666666666667,VIOLATED,-0.1,VIOLATED,1,1,1,results/arch2025/selected/at__/traces/at_at53_i2_rand_input.csv
afc_afc27_i2_a3c,AFC,AFC27,2,A3C,20250791,-0.170380617082724,VIOLATED,-0.170391453863167,VIOLATED,1,1,1,results/arch2025/selected/afc__/traces/afc_afc27_i2_a3c_input.csv
afc_afc29_i2_a3c,AFC,AFC29,2,A3C,20250794,-0.169033512269247,VIOLATED,-0.1690043339903,VIOLATED,1,1,1,results/arch2025/selected/afc__/traces/afc_afc29_i2_a3c_input.csv
afc_afc29_i2_acer,AFC,AFC29,2,ACER,20250816,-0.171378542119138,VIOLATED,-0.171388605036142,VIOLATED,1,1,1,results/arch2025/selected/__acer/traces/afc_afc29_i2_acer_input.csv
afc_afc29_i2_ddqn,AFC,AFC29,2,DDQN,20250795,-0.142659183898381,VIOLATED,-0.142659193429814,VIOLATED,1,1,1,results/arch2025/selected/afc__/traces/afc_afc29_i2_ddqn_input.csv
cc_cc3_i2_acer,CC,CC3,2,ACER,20250844,-0.279057873306944,VIOLATED,-14.566495171346,VIOLATED,1,1,1,results/arch2025/selected/__acer/traces/cc_cc3_i2_acer_input.csv
cc_cc5_i1_ddqn,CC,CC5,1,DDQN,20250825,-0.014726922849336,VIOLATED,-0.736266293428947,VIOLATED,1,1,1,results/arch2025/all/traces/cc_cc5_i1_ddqn_input.csv
nn_nn_i1_rand,NN,NN,1,RAND,20250835,-0.582936154572008,VIOLATED,-1.61284664794264,VIOLATED,1,1,1,results/arch2025/all/traces/nn_nn_i1_rand_input.csv
nn_nn_i1_a3c,NN,NN,1,A3C,20250836,-0.811118350444613,VIOLATED,-1.7076073755839,VIOLATED,1,1,1,results/arch2025/all/traces/nn_nn_i1_a3c_input.csv
nn_nn_i1_acer,NN,NN,1,ACER,20250872,-0.857162630456923,VIOLATED,-1.72834148524507,VIOLATED,1,1,1,results/arch2025/selected/__acer/traces/nn_nn_i1_acer_input.csv
nn_nn_i1_ddqn,NN,NN,1,DDQN,20250837,-0.6400908150028,VIOLATED,-1.38949020811289,VIOLATED,1,1,1,results/arch2025/all/traces/nn_nn_i1_ddqn_input.csv
nn_nn_i2_rand,NN,NN,2,RAND,20250838,-0.57678749355596,VIOLATED,-1.6056443625286,VIOLATED,1,1,1,results/arch2025/selected/nn___i2__/traces/nn_nn_i2_rand_input.csv
nn_nn_i2_a3c,NN,NN,2,A3C,20250839,-0.849520471668001,VIOLATED,-1.72526280217332,VIOLATED,1,1,1,results/arch2025/selected/nn___i2__/traces/nn_nn_i2_a3c_input.csv
nn_nn_i2_acer,NN,NN,2,ACER,20250876,-0.857289749128981,VIOLATED,-1.72809336796649,VIOLATED,1,1,1,results/arch2025/selected/__acer/traces/nn_nn_i2_acer_input.csv
nn_nn_i2_ddqn,NN,NN,2,DDQN,20250840,-0.715123951815373,VIOLATED,-1.41915191184644,VIOLATED,1,1,1,results/arch2025/selected/nn___i2__/traces/nn_nn_i2_ddqn_input.csv
nn_nnx_i1_rand,NN,NNx,1,RAND,20250841,-0.231639236486785,VIOLATED,-2.5357610287456,VIOLATED,1,1,1,results/arch2025/all/traces/nn_nnx_i1_rand_input.csv
nn_nnx_i1_a3c,NN,NNx,1,A3C,20250842,-0.266109486222267,VIOLATED,-2.5357610287456,VIOLATED,1,1,1,results/arch2025/all/traces/nn_nnx_i1_a3c_input.csv
nn_nnx_i1_acer,NN,NNx,1,ACER,20250880,-0.249756811857223,VIOLATED,-2.5357610287456,VIOLATED,1,1,1,results/arch2025/selected/__acer/traces/nn_nnx_i1_acer_input.csv
nn_nnx_i1_ddqn,NN,NNx,1,DDQN,20250843,-0.284659805446863,VIOLATED,-2.57815656395423,VIOLATED,1,1,1,results/arch2025/all/traces/nn_nnx_i1_ddqn_input.csv
nn_nnx_i2_rand,NN,NNx,2,RAND,20250844,-0.298472017092411,VIOLATED,-2.57815656395423,VIOLATED,1,1,1,results/arch2025/selected/nn___i2__/traces/nn_nnx_i2_rand_input.csv
nn_nnx_i2_a3c,NN,NNx,2,A3C,20250845,-0.274930043444037,VIOLATED,-2.5357610287456,VIOLATED,1,1,1,results/arch2025/selected/nn___i2__/traces/nn_nnx_i2_a3c_input.csv
nn_nnx_i2_acer,NN,NNx,2,ACER,20250884,-0.30594827413559,VIOLATED,-2.57815656395423,VIOLATED,1,1,1,results/arch2025/selected/__acer/traces/nn_nnx_i2_acer_input.csv
nn_nnx_i2_ddqn,NN,NNx,2,DDQN,20250846,-0.289884566068649,VIOLATED,-2.57815656395423,VIOLATED,1,1,1,results/arch2025/selected/nn___i2__/traces/nn_nnx_i2_ddqn_input.csv
