Model,Requirement,Instance,Algorithm,FalsifyRunPass,InputValidationPass,OfficialReplayPass,FalsifyClassification,OfficialClassification,ClassificationAgreementPass,OverallPass,Status
SB,SB1,2,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
SB,SB1,2,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
SB,SB1,2,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
SB,SB1,2,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
SB,SB2,2,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
SB,SB2,2,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
SB,SB2,2,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
SB,SB2,2,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
SB,SB3,2,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
SB,SB3,2,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
SB,SB3,2,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
SB,SB3,2,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
SB,SB4,2,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
SB,SB4,2,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
SB,SB4,2,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
SB,SB4,2,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
SB,SB5,2,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
SB,SB5,2,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
SB,SB5,2,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
SB,SB5,2,DDQN,1,1,1,VIOLATED,VIOLATED,1,1,VALIDATED
AT,AT1,1,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT1,1,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT1,1,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT1,1,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT1,2,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT1,2,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT1,2,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT1,2,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT2,1,RAND,1,1,1,VIOLATED,VIOLATED,1,1,VALIDATED
AT,AT2,1,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT2,1,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT2,1,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT2,2,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT2,2,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT2,2,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT2,2,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT51,1,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT51,1,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT51,1,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT51,1,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT51,2,RAND,1,1,1,VIOLATED,VIOLATED,1,1,VALIDATED
AT,AT51,2,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT51,2,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT51,2,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT52,1,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT52,1,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT52,1,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT52,1,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT52,2,RAND,1,1,1,VIOLATED,VIOLATED,1,1,VALIDATED
AT,AT52,2,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT52,2,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT52,2,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT53,1,RAND,1,1,1,VIOLATED,VIOLATED,1,1,VALIDATED
AT,AT53,1,A3C,1,1,1,VIOLATED,VIOLATED,1,1,VALIDATED
